"","event_id","Datetime","PhysicalDataID","Station","Date","YSI","Time","WeatherCode","Tide","MicrocystisVisualRank","WaterTemperature","Secchi","Conductivity","SpCnd","pH","DO","Turbidity","FlowDirection","VegetationRank","FieldComments_WQ","DataCorrectionComments","SamplingAltered","MeshSize","Year","Month","MonthAbb","Flag_PQC","Comment_PQC","InvertDataID","ConditionCode","SetTime","FlowMeterStart","FlowMeterEnd","FlowMeterSpeed","FieldComments","InvertCode","SampleVolume","InvertCatchID","OrganismID","Count","Category","TaxonName","TaxonRank","CommonName","TotalCount","LifeStage","SubsampleNumber","Dilution Volume","SlideCount","wet_mass","dry_mass","LabComments","condition","Flag_SAMP","Comment_SAMP","Flag_LAB","Comment_LAB"
"1","SHR_1998-02-03 09:13:00",1998-02-03 09:13:00,93,"SHR",1998-02-03,NA,09:13:00,"RAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,"Feb",NA,NA,107,NA,36,NA,NA,"Regular","No meter values on datasheet","1-203",NA,628,23,1,"Aquatic Non-Insects","Dorylaimidae","Family","Dorylaimidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"2","SHR_1998-02-03 09:13:00",1998-02-03 09:13:00,93,"SHR",1998-02-03,NA,09:13:00,"RAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,"Feb",NA,NA,107,NA,36,NA,NA,"Regular","No meter values on datasheet","1-203",NA,630,4,10,"Aquatic Non-Insects","Naididae","Family","Naididae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"3","SHR_1998-02-03 09:13:00",1998-02-03 09:13:00,93,"SHR",1998-02-03,NA,09:13:00,"RAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,"Feb",NA,NA,107,NA,36,NA,NA,"Regular","No meter values on datasheet","1-203",NA,631,5,3,"Aquatic Non-Insects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"4","SHR_1998-02-03 09:13:00",1998-02-03 09:13:00,93,"SHR",1998-02-03,NA,09:13:00,"RAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,"Feb",NA,NA,107,NA,36,NA,NA,"Regular","No meter values on datasheet","1-203",NA,632,2,4,"Aquatic Non-Insects","Enchytraeidae","Family","Enchytraeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"5","SHR_1998-02-03 09:13:00",1998-02-03 09:13:00,93,"SHR",1998-02-03,NA,09:13:00,"RAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,"Feb",NA,NA,107,NA,36,NA,NA,"Regular","No meter values on datasheet","1-203",NA,633,14,2,"Aquatic Non-Insects","Cyprididae","Family","Cyprididae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"6","SHR_1998-02-03 09:13:00",1998-02-03 09:13:00,93,"SHR",1998-02-03,NA,09:13:00,"RAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,"Feb",NA,NA,107,NA,36,NA,NA,"Regular","No meter values on datasheet","1-203",NA,634,13,1,"Aquatic Non-Insects","Mysidae","Family","Mysidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"7","SHR_1998-02-03 09:13:00",1998-02-03 09:13:00,93,"SHR",1998-02-03,NA,09:13:00,"RAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,"Feb",NA,NA,107,NA,36,NA,NA,"Regular","No meter values on datasheet","1-203",NA,635,9,2,"Aquatic Non-Insects","Corophiidae","Family","Corophiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"8","SHR_1998-02-03 09:13:00",1998-02-03 09:13:00,93,"SHR",1998-02-03,NA,09:13:00,"RAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,"Feb",NA,NA,107,NA,36,NA,NA,"Regular","No meter values on datasheet","1-203",NA,636,41,1,"Aquatic Insects","Baetidae","Family","Baetidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"9","SHR_1998-02-03 09:13:00",1998-02-03 09:13:00,93,"SHR",1998-02-03,NA,09:13:00,"RAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,"Feb",NA,NA,107,NA,36,NA,NA,"Regular","No meter values on datasheet","1-203",NA,637,40,1,"Aquatic Insects","Caenidae","Family","Caenidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"10","SHR_1998-02-03 09:13:00",1998-02-03 09:13:00,93,"SHR",1998-02-03,NA,09:13:00,"RAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,"Feb",NA,NA,107,NA,36,NA,NA,"Regular","No meter values on datasheet","1-203",NA,638,46,4,"Aquatic Insects","Coenagrionidae","Family","Coenagrionidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"11","SHR_1998-02-03 09:13:00",1998-02-03 09:13:00,93,"SHR",1998-02-03,NA,09:13:00,"RAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,"Feb",NA,NA,107,NA,36,NA,NA,"Regular","No meter values on datasheet","1-203",NA,639,34,88,"Aquatic Insects","Chironomidae","Family","Chironomidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"12","SHR_1998-02-03 09:13:00",1998-02-03 09:13:00,93,"SHR",1998-02-03,NA,09:13:00,"RAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,"Feb",NA,NA,107,NA,36,NA,NA,"Regular","No meter values on datasheet","1-203",NA,640,49,1,"Aquatic Insects","Culicidae","Family","Culicidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"13","SHR_1998-02-03 09:13:00",1998-02-03 09:13:00,93,"SHR",1998-02-03,NA,09:13:00,"RAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,"Feb",NA,NA,107,NA,36,NA,NA,"Regular","No meter values on datasheet","1-203",NA,641,38,1,"Aquatic Insects","Simuliidae","Family","Simuliidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
